,SampleID,notes,sampling date,sampling time,movement,Station_start,Station_end,sample type,medium,Station,ecosystem,depth,filtration,pore size,replicate,time,bottle,filter type,time point,Season,Latitude,Longitude,depth_class,depth_category,Sampling_month,Sample,depth_m,eligible_for_ctd,ctd_ctd_depth_m,depth_diff,ctd_sal,ctd_temp,ctd_fluor,ctd_oxygen2,ctd_oxygen,ctd_pres,ctd_theta,ctd_ctd_file
41,XB_S12,negativ sequencing control,NA,NA,NA,NA,NA,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,XB_S12,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,XB_S257,negativ sequencing control,NA,NA,NA,NA,NA,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,XB_S257,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,20250414-ESe16a,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,passive,20,1,0,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,20250414-ESe16a,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,20250414-ESe16b,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,passive,20,2,0,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,20250414-ESe16b,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,20250414-ESe17a,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,passive,20,1,0,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,20250414-ESe17a,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,20250414-ESe17b,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,passive,20,2,0,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,20250414-ESe17b,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,20250414-ESe18a,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,1,19,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,20250414-ESe18a,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,20250414-ESe18b,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,2,19,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,20250414-ESe18b,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,20250414-ESe18c,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,3,19,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,20250414-ESe18c,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,20250414-ESe19a,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,1,19,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,20250414-ESe19a,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,20250414-ESe19b,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,2,20,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,20250414-ESe19b,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,20250414-ESe19c,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,3,20,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,20250414-ESe19c,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,20250414-ESe20a,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,2,21,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,20250414-ESe20a,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,20250414-ESe20b,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,3,21,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,20250414-ESe20b,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,20250414-ESe20c,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,1,21,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,20250414-ESe20c,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,20250417-M1-010M-1,Label is different (preprinted),04.17.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,10,active,0.22,1,NA,10,Sterivex,2,Spring,36.74166667,-122.0268333,10,shallow,Apr.25,20250417-M1-010M-1,10,TRUE,10,0,32.53678216,12.06693463,0.2140569,6.428707712,280.195625,10.07358871,12.06566,SynchroOSW - Spring2025 - CTD - M1.cnv
57,20250417-M1-010M-2,Label is different (preprinted),04.17.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,10,active,0.22,2,NA,11,Sterivex,2,Spring,36.74166667,-122.0268333,10,shallow,Apr.25,20250417-M1-010M-2,10,TRUE,10,0,32.53678216,12.06693463,0.2140569,6.428707712,280.195625,10.07358871,12.06566,SynchroOSW - Spring2025 - CTD - M1.cnv
58,20250417-M1-010M-3,Label is different (preprinted),04.17.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,10,active,0.22,3,NA,12,Sterivex,2,Spring,36.74166667,-122.0268333,10,shallow,Apr.25,20250417-M1-010M-3,10,TRUE,10,0,32.53678216,12.06693463,0.2140569,6.428707712,280.195625,10.07358871,12.06566,SynchroOSW - Spring2025 - CTD - M1.cnv
59,20250417-M1-12-5M-1,Deep Chl max,04.17.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,12.5,active,0.22,1,NA,7,Sterivex,2,Spring,36.74166667,-122.0268333,DeepChla,shallow,Apr.25,20250417-M1-12-5M-1,12.5,TRUE,12,0.5,32.58602393,11.96004599,0.215954771,6.354285139,276.9375123,12.08967254,11.95852482,SynchroOSW - Spring2025 - CTD - M1.cnv
60,20250417-M1-12-5M-3,Deep Chl max,04.17.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,12.5,active,0.22,3,NA,9,Sterivex,2,Spring,36.74166667,-122.0268333,DeepChla,shallow,Apr.25,20250417-M1-12-5M-3,12.5,TRUE,12,0.5,32.58602393,11.96004599,0.215954771,6.354285139,276.9375123,12.08967254,11.95852482,SynchroOSW - Spring2025 - CTD - M1.cnv
61,20250417-M1-150m-1,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,150,active,0.22,1,NA,4,Sterivex,2,Spring,36.74166667,-122.0268333,150,deep,Apr.25,20250417-M1-150m-1,150,TRUE,150,0,34.05486793,8.428320726,0.010996862,1.751203933,76.19269592,151.1679274,8.412793585,SynchroOSW - Spring2025 - CTD - M1.cnv
62,20250417-M1-150m-2,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,150,active,0.22,2,NA,5,Sterivex,2,Spring,36.74166667,-122.0268333,150,deep,Apr.25,20250417-M1-150m-2,150,TRUE,150,0,34.05486793,8.428320726,0.010996862,1.751203933,76.19269592,151.1679274,8.412793585,SynchroOSW - Spring2025 - CTD - M1.cnv
63,20250417-M1-150m-2-HW,"Deep Chl max, wrong label 20250417-M1-150m-2-HW double sample",04.17.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,12.5,active,0.22,1,NA,7,Sterivex,2,Spring,36.74166667,-122.0268333,DeepChla,shallow,Apr.25,20250417-M1-150m-2-HW,12.5,TRUE,12,0.5,32.58602393,11.96004599,0.215954771,6.354285139,276.9375123,12.08967254,11.95852482,SynchroOSW - Spring2025 - CTD - M1.cnv
64,20250417-M1-150m-3,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,150,active,0.22,3,NA,6,Sterivex,2,Spring,36.74166667,-122.0268333,150,deep,Apr.25,20250417-M1-150m-3,150,TRUE,150,0,34.05486793,8.428320726,0.010996862,1.751203933,76.19269592,151.1679274,8.412793585,SynchroOSW - Spring2025 - CTD - M1.cnv
65,20250417-M1-300m-1,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,300,active,0.22,1,NA,1,Sterivex,2,Spring,36.74166667,-122.0268333,300,deep,Apr.25,20250417-M1-300m-1,300,TRUE,295,5,34.14468629,7.499671171,0.007326214,1.154206607,50.2068969,297.3893894,7.470879988,SynchroOSW - Spring2025 - CTD - M1.cnv
66,20250417-M1-300m-2,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,300,active,0.22,2,NA,2,Sterivex,2,Spring,36.74166667,-122.0268333,300,deep,Apr.25,20250417-M1-300m-2,300,TRUE,295,5,34.14468629,7.499671171,0.007326214,1.154206607,50.2068969,297.3893894,7.470879988,SynchroOSW - Spring2025 - CTD - M1.cnv
67,20250417-M1-300m-3,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,300,active,0.22,3,NA,3,Sterivex,2,Spring,36.74166667,-122.0268333,300,deep,Apr.25,20250417-M1-300m-3,300,TRUE,295,5,34.14468629,7.499671171,0.007326214,1.154206607,50.2068969,297.3893894,7.470879988,SynchroOSW - Spring2025 - CTD - M1.cnv
68,20250417-M1-air-1,NA,04.17.2025,NA,stationary,OSWS,M1,eDNA,air,M1,marine,0,passive,0.22,1,NA,NA,disk,2,Spring,36.74166667,-122.0268333,0,shallow,Apr.25,20250417-M1-air-1,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,20250417-M1-air-2,NA,04.17.2025,NA,stationary,OSWS,M1,eDNA,air,M1,marine,0,passive,0.22,2,NA,NA,disk,2,Spring,36.74166667,-122.0268333,0,shallow,Apr.25,20250417-M1-air-2,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,20250417-M1-air-3,NA,04.17.2025,NA,stationary,OSWS,M1,eDNA,air,M1,marine,0,passive,0.22,3,NA,NA,disk,2,Spring,36.74166667,-122.0268333,0,shallow,Apr.25,20250417-M1-air-3,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,20250417-M1-air-st-A,NA,04.17.2025,NA,stationary,M1,M1,eDNA,air,M1,marine,0,passive,0.22,1,NA,NA,disk,2,Spring,36.74166667,-122.0268333,0,shallow,Apr.25,20250417-M1-air-st-A,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,20250417-M1-air-st-B,NA,04.17.2025,NA,stationary,M1,M1,eDNA,air,M1,marine,0,passive,0.22,2,NA,NA,disk,2,Spring,36.74166667,-122.0268333,0,shallow,Apr.25,20250417-M1-air-st-B,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,20250417-M1-air-st-C,NA,04.17.2025,NA,stationary,M1,M1,eDNA,air,M1,marine,0,passive,0.22,3,NA,NA,disk,2,Spring,36.74166667,-122.0268333,0,shallow,Apr.25,20250417-M1-air-st-C,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,20250417-M1-torp-1,NA,04.17.2025,NA,transition,NA,NA,eDNA,water,M1,marine,0,passive,20,1,NA,NA,disk,2,Spring,36.74166667,-122.0268333,0,shallow,Apr.25,20250417-M1-torp-1,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,20250417-M1-torp-2,NA,04.17.2025,NA,transition,NA,NA,eDNA,water,M1,marine,0,passive,20,2,NA,NA,disk,2,Spring,36.74166667,-122.0268333,0,shallow,Apr.25,20250417-M1-torp-2,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,20250417-MARS-010m-1,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,MARS,marine,10,active,0.22,1,NA,10,Sterivex,2,Spring,36.743,-122.1068333,10,shallow,Apr.25,20250417-MARS-010m-1,10,TRUE,10,0,32.66873426,11.59371632,0.170871562,5.855597733,255.1683537,10.07455919,11.59247455,SynchroOSW - Spring2025 - CTD - MARS.cnv
77,20250417-MARS-010m-2,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,MARS,marine,10,active,0.22,2,NA,11,Sterivex,2,Spring,36.743,-122.1068333,10,shallow,Apr.25,20250417-MARS-010m-2,10,TRUE,10,0,32.66873426,11.59371632,0.170871562,5.855597733,255.1683537,10.07455919,11.59247455,SynchroOSW - Spring2025 - CTD - MARS.cnv
78,20250417-MARS-010m-3,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,MARS,marine,10,active,0.22,3,NA,12,Sterivex,2,Spring,36.743,-122.1068333,10,shallow,Apr.25,20250417-MARS-010m-3,10,TRUE,10,0,32.66873426,11.59371632,0.170871562,5.855597733,255.1683537,10.07455919,11.59247455,SynchroOSW - Spring2025 - CTD - MARS.cnv
79,20250417-MARS-011m-1,Deep Chl max,04.17.2025,NA,stationary,NA,NA,eDNA,water,MARS,marine,11,active,0.22,1,NA,7,Sterivex,2,Spring,36.743,-122.1068333,DeepChla,shallow,Apr.25,20250417-MARS-011m-1,11,TRUE,11,0,32.74757557,11.45069365,0.178730504,5.689350882,247.9028625,11.08211587,11.44933875,SynchroOSW - Spring2025 - CTD - MARS.cnv
80,20250417-MARS-011m-2,Deep Chl max,04.17.2025,NA,stationary,NA,NA,eDNA,water,MARS,marine,11,active,0.22,2,NA,8,Sterivex,2,Spring,36.743,-122.1068333,DeepChla,shallow,Apr.25,20250417-MARS-011m-2,11,TRUE,11,0,32.74757557,11.45069365,0.178730504,5.689350882,247.9028625,11.08211587,11.44933875,SynchroOSW - Spring2025 - CTD - MARS.cnv
81,20250417-MARS-011m-3,Deep Chl max,04.17.2025,NA,stationary,NA,NA,eDNA,water,MARS,marine,11,active,0.22,3,NA,9,Sterivex,2,Spring,36.743,-122.1068333,DeepChla,shallow,Apr.25,20250417-MARS-011m-3,11,TRUE,11,0,32.74757557,11.45069365,0.178730504,5.689350882,247.9028625,11.08211587,11.44933875,SynchroOSW - Spring2025 - CTD - MARS.cnv
82,20250417-MARS-150m-1,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,MARS,marine,150,active,0.22,1,NA,4,Sterivex,2,Spring,36.743,-122.1068333,150,deep,Apr.25,20250417-MARS-150m-1,150,TRUE,150,0,34.02932016,8.472951613,0.007713394,1.984782661,86.35785887,151.1693548,8.457379533,SynchroOSW - Spring2025 - CTD - MARS.cnv
83,20250417-MARS-150m-2,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,MARS,marine,150,active,0.22,2,NA,5,Sterivex,2,Spring,36.743,-122.1068333,150,deep,Apr.25,20250417-MARS-150m-2,150,TRUE,150,0,34.02932016,8.472951613,0.007713394,1.984782661,86.35785887,151.1693548,8.457379533,SynchroOSW - Spring2025 - CTD - MARS.cnv
