SampleID,notes,sampling date,sampling time,movement,Station_start,Station_end,sample type,medium,Station,ecosystem,depth,filtration,pore size,replicate,time,bottle,filter type,time point,Season,Latitude,Longitude,depth_class,depth_category,Sampling_month,depth_m,eligible_for_ctd,ctd_ctd_depth_m,depth_diff,ctd_sal,ctd_temp,ctd_fluor,ctd_oxygen2,ctd_oxygen,ctd_pres,ctd_theta,ctd_ctd_file
20250723-M1-torp-ctrl,"blank, dry filter",07.23.2025,NA,NA,NA,NA,blank,NA,NA,NA,NA,NA,20,1,NA,NA,disk,3,Summer,36.74166667,-122.0268333,NA,NA,Jul.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250723-ML-M1-air-ctrl,mainland to M1,07.23.2025,NA,NA,ML,M1,blank,air,M1,marine,NA,passive,0.22,1,NA,NA,disk,3,Summer,36.74166667,-122.0268333,NA,NA,Jul.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250723-OSWS-BLNK,MolGrad H20,07.23.2025,NA,NA,NA,NA,blank,NA,OSWS,marine,NA,active,0.22,1,NA,NA,Sterivex,3,Summer,36.6775,-122.53517,NA,NA,Jul.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250724-C1-air-st-blank,NA,07.24.2025,NA,NA,NA,NA,blank,air,C1,NA,NA,NA,NA,NA,NA,NA,disk,3,Summer,36.8045,-121.858,NA,NA,Jul.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250724-C1-Blnk,MolGrad H20,07.24.2025,NA,NA,NA,NA,blank,NA,C1,marine,NA,active,0.22,1,NA,NA,Sterivex,3,Summer,36.8045,-121.858,NA,NA,Jul.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250724-M2-Blnk,MolGrad H20,07.24.2025,NA,NA,NA,NA,blank,NA,M2,marine,NA,active,20,1,NA,NA,Sterivex,3,Summer,36.7015,-122.3743333,NA,NA,Jul.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250724-M2-torp-blank,dry filter,07.24.2025,NA,NA,NA,NA,blank,NA,M2,marine,NA,passive,20,1,NA,NA,Sterivex,3,Summer,36.7015,-122.3743333,NA,NA,Jul.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250724-MARS-Blnk,MolGrad H20,07.24.2025,NA,NA,NA,NA,blank,NA,MARS,marine,NA,NA,0.22,1,NA,NA,Sterivex,3,Summer,36.743,-122.1068333,NA,NA,Jul.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20251027-Blank-f020,"dry, torp",10.27.2025,NA,NA,NA,NA,blank,NA,Elkhorn Slough,NA,NA,NA,0.22,1,NA,NA,disk,4,Autumn,36.7502,-122.0495,NA,NA,Oct.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20251027-ES-blank,MolGrad H20,10.27.2025,NA,NA,NA,NA,blank,NA,Elkhorn Slough,estuary,NA,active,0.22,1,NA,NA,Sterivex,4,Autumn,36.8105,-121.7827,NA,NA,Oct.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20252810-C1-Blnk,MolGrad H20,10.28.2025,NA,NA,NA,NA,blank,NA,C1,marine,NA,active,0.22,1,NA,NA,Sterivex,4,Autumn,36.8,-121.8562,NA,NA,Oct.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20252910-M1-BLANK,MolGrad H20,02.01.1900,NA,NA,NA,NA,blank,NA,M1,marine,NA,active,0.22,1,NA,NA,Sterivex,4,Autumn,36.7502,-122.0495,NA,NA,Oct.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20252910-M1-torp-ctrl,torp,10.28.2025,NA,NA,NA,NA,blank,NA,M1,NA,NA,passive,20,1,NA,NA,disk,4,Autumn,36.7502,-122.0495,NA,NA,Oct.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20252910-M2-Blnk,torp,10.29.2025,NA,NA,NA,NA,blank,NA,M2,marine,NA,active,20,1,NA,NA,Sterivex,4,Autumn,36.713,-122.304,NA,NA,Oct.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20252910-MARS-airBLANK,NA,10.29.2025,NA,NA,NA,NA,blank,NA,MARS,marine,NA,passive,0.22,3,NA,NA,disk,4,Autumn,36.721,-122.1903,NA,NA,Oct.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20252910-MARS-torp-BLANK,torp,10.29.2025,NA,NA,NA,NA,blank,NA,MARS,NA,NA,NA,20,NA,NA,NA,disk,4,Autumn,36.721,-122.1903,NA,NA,Oct.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20252910-ML-M1-air-ctrl,mainland to M1,10.28.2025,NA,NA,NA,NA,blank,NA,M1,marine,NA,passive,0.22,1,NA,NA,disk,4,Autumn,36.7502,-122.0495,NA,NA,Oct.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Es-5,20250722_blank_5 old filters in lab,07.22.2025,NA,NA,NA,NA,blank,NA,Elkhorn Slough,estuary,NA,NA,0.22,2,NA,NA,disk,3,Summer,NA,NA,NA,NA,Jul.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Es-6,20250722_blank_6 new control brought to field,07.22.2025,NA,NA,NA,NA,blank,NA,Elkhorn Slough,estuary,NA,NA,0.22,3,NA,NA,disk,3,Summer,NA,NA,NA,NA,Jul.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Es-7,20250722_blank_7: new control dry in lab,07.22.2025,NA,NA,NA,NA,blank,NA,Elkhorn Slough,estuary,NA,NA,0.22,4,NA,NA,disk,3,Summer,NA,NA,NA,NA,Jul.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Extraction-Blank_2025-04,negativ extraction control,NA,NA,NA,NA,NA,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Extraction-Blank_2025-07,negativ extraction control,NA,NA,NA,NA,NA,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARS-BLANK,"handwritten, MolGrad H20",10.29.2025,NA,NA,NA,NA,blank,NA,MARS,marine,NA,active,0.22,1,NA,NA,Sterivex,4,Autumn,36.721,-122.1903,NA,NA,Oct.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTC_2025-04,negativ sequencing control,NA,NA,NA,NA,NA,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTC_2025-07,negativ extraction control,NA,NA,NA,NA,NA,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTC_S13,negativ sequencing control,NA,NA,NA,NA,NA,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTC_S258,negativ sequencing control,NA,NA,NA,NA,NA,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POS_2025-04,positive sequencing control lab,NA,NA,NA,NA,NA,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POS_2025-07,positive sequencing control lab,NA,NA,NA,NA,NA,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XB,negativ sequencing control,NA,NA,NA,NA,NA,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XB_S12,negativ sequencing control,NA,NA,NA,NA,NA,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XB_S257,negativ sequencing control,NA,NA,NA,NA,NA,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250414-ESe16a,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,passive,20,1,0,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250414-ESe16b,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,passive,20,2,0,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250414-ESe17a,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,passive,20,1,0,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250414-ESe17b,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,passive,20,2,0,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250414-ESe18a,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,1,19,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250414-ESe18b,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,2,19,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250414-ESe18c,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,3,19,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250414-ESe19a,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,1,19,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250414-ESe19b,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,2,20,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250414-ESe19c,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,3,20,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250414-ESe20a,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,2,21,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250414-ESe20b,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,3,21,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250414-ESe20c,NA,04.14.2025,NA,stationary,NA,NA,eDNA,water,Elkhorn Slough,estuary,0,active,0.22,1,21,NA,Sterivex,2,Spring,36.8105,-121.7827,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-M1-010M-1,Label is different (preprinted),04.17.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,10,active,0.22,1,NA,10,Sterivex,2,Spring,36.74166667,-122.0268333,10,shallow,Apr.25,10,TRUE,10,0,32.53678216,12.06693463,0.2140569,6.428707712,280.195625,10.07358871,12.06566,SynchroOSW - Spring2025 - CTD - M1.cnv
20250417-M1-010M-2,Label is different (preprinted),04.17.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,10,active,0.22,2,NA,11,Sterivex,2,Spring,36.74166667,-122.0268333,10,shallow,Apr.25,10,TRUE,10,0,32.53678216,12.06693463,0.2140569,6.428707712,280.195625,10.07358871,12.06566,SynchroOSW - Spring2025 - CTD - M1.cnv
20250417-M1-010M-3,Label is different (preprinted),04.17.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,10,active,0.22,3,NA,12,Sterivex,2,Spring,36.74166667,-122.0268333,10,shallow,Apr.25,10,TRUE,10,0,32.53678216,12.06693463,0.2140569,6.428707712,280.195625,10.07358871,12.06566,SynchroOSW - Spring2025 - CTD - M1.cnv
20250417-M1-12-5M-1,Deep Chl max,04.17.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,12.5,active,0.22,1,NA,7,Sterivex,2,Spring,36.74166667,-122.0268333,DeepChla,shallow,Apr.25,12.5,TRUE,12,0.5,32.58602393,11.96004599,0.215954771,6.354285139,276.9375123,12.08967254,11.95852482,SynchroOSW - Spring2025 - CTD - M1.cnv
20250417-M1-12-5M-3,Deep Chl max,04.17.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,12.5,active,0.22,3,NA,9,Sterivex,2,Spring,36.74166667,-122.0268333,DeepChla,shallow,Apr.25,12.5,TRUE,12,0.5,32.58602393,11.96004599,0.215954771,6.354285139,276.9375123,12.08967254,11.95852482,SynchroOSW - Spring2025 - CTD - M1.cnv
20250417-M1-150m-1,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,150,active,0.22,1,NA,4,Sterivex,2,Spring,36.74166667,-122.0268333,150,deep,Apr.25,150,TRUE,150,0,34.05486793,8.428320726,0.010996862,1.751203933,76.19269592,151.1679274,8.412793585,SynchroOSW - Spring2025 - CTD - M1.cnv
20250417-M1-150m-2,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,150,active,0.22,2,NA,5,Sterivex,2,Spring,36.74166667,-122.0268333,150,deep,Apr.25,150,TRUE,150,0,34.05486793,8.428320726,0.010996862,1.751203933,76.19269592,151.1679274,8.412793585,SynchroOSW - Spring2025 - CTD - M1.cnv
20250417-M1-150m-2-HW,"Deep Chl max, wrong label 20250417-M1-150m-2-HW double sample",04.17.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,12.5,active,0.22,1,NA,7,Sterivex,2,Spring,36.74166667,-122.0268333,DeepChla,shallow,Apr.25,12.5,TRUE,12,0.5,32.58602393,11.96004599,0.215954771,6.354285139,276.9375123,12.08967254,11.95852482,SynchroOSW - Spring2025 - CTD - M1.cnv
20250417-M1-150m-3,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,150,active,0.22,3,NA,6,Sterivex,2,Spring,36.74166667,-122.0268333,150,deep,Apr.25,150,TRUE,150,0,34.05486793,8.428320726,0.010996862,1.751203933,76.19269592,151.1679274,8.412793585,SynchroOSW - Spring2025 - CTD - M1.cnv
20250417-M1-300m-1,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,300,active,0.22,1,NA,1,Sterivex,2,Spring,36.74166667,-122.0268333,300,deep,Apr.25,300,TRUE,295,5,34.14468629,7.499671171,0.007326214,1.154206607,50.2068969,297.3893894,7.470879988,SynchroOSW - Spring2025 - CTD - M1.cnv
20250417-M1-300m-2,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,300,active,0.22,2,NA,2,Sterivex,2,Spring,36.74166667,-122.0268333,300,deep,Apr.25,300,TRUE,295,5,34.14468629,7.499671171,0.007326214,1.154206607,50.2068969,297.3893894,7.470879988,SynchroOSW - Spring2025 - CTD - M1.cnv
20250417-M1-300m-3,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,M1,marine,300,active,0.22,3,NA,3,Sterivex,2,Spring,36.74166667,-122.0268333,300,deep,Apr.25,300,TRUE,295,5,34.14468629,7.499671171,0.007326214,1.154206607,50.2068969,297.3893894,7.470879988,SynchroOSW - Spring2025 - CTD - M1.cnv
20250417-M1-air-1,NA,04.17.2025,NA,stationary,OSWS,M1,eDNA,air,M1,marine,0,passive,0.22,1,NA,NA,disk,2,Spring,36.74166667,-122.0268333,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-M1-air-2,NA,04.17.2025,NA,stationary,OSWS,M1,eDNA,air,M1,marine,0,passive,0.22,2,NA,NA,disk,2,Spring,36.74166667,-122.0268333,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-M1-air-3,NA,04.17.2025,NA,stationary,OSWS,M1,eDNA,air,M1,marine,0,passive,0.22,3,NA,NA,disk,2,Spring,36.74166667,-122.0268333,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-M1-air-st-A,NA,04.17.2025,NA,stationary,M1,M1,eDNA,air,M1,marine,0,passive,0.22,1,NA,NA,disk,2,Spring,36.74166667,-122.0268333,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-M1-air-st-B,NA,04.17.2025,NA,stationary,M1,M1,eDNA,air,M1,marine,0,passive,0.22,2,NA,NA,disk,2,Spring,36.74166667,-122.0268333,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-M1-air-st-C,NA,04.17.2025,NA,stationary,M1,M1,eDNA,air,M1,marine,0,passive,0.22,3,NA,NA,disk,2,Spring,36.74166667,-122.0268333,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-M1-torp-1,NA,04.17.2025,NA,transition,NA,NA,eDNA,water,M1,marine,0,passive,20,1,NA,NA,disk,2,Spring,36.74166667,-122.0268333,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-M1-torp-2,NA,04.17.2025,NA,transition,NA,NA,eDNA,water,M1,marine,0,passive,20,2,NA,NA,disk,2,Spring,36.74166667,-122.0268333,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-MARS-010m-1,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,MARS,marine,10,active,0.22,1,NA,10,Sterivex,2,Spring,36.743,-122.1068333,10,shallow,Apr.25,10,TRUE,10,0,32.66873426,11.59371632,0.170871562,5.855597733,255.1683537,10.07455919,11.59247455,SynchroOSW - Spring2025 - CTD - MARS.cnv
20250417-MARS-010m-2,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,MARS,marine,10,active,0.22,2,NA,11,Sterivex,2,Spring,36.743,-122.1068333,10,shallow,Apr.25,10,TRUE,10,0,32.66873426,11.59371632,0.170871562,5.855597733,255.1683537,10.07455919,11.59247455,SynchroOSW - Spring2025 - CTD - MARS.cnv
20250417-MARS-010m-3,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,MARS,marine,10,active,0.22,3,NA,12,Sterivex,2,Spring,36.743,-122.1068333,10,shallow,Apr.25,10,TRUE,10,0,32.66873426,11.59371632,0.170871562,5.855597733,255.1683537,10.07455919,11.59247455,SynchroOSW - Spring2025 - CTD - MARS.cnv
20250417-MARS-011m-1,Deep Chl max,04.17.2025,NA,stationary,NA,NA,eDNA,water,MARS,marine,11,active,0.22,1,NA,7,Sterivex,2,Spring,36.743,-122.1068333,DeepChla,shallow,Apr.25,11,TRUE,11,0,32.74757557,11.45069365,0.178730504,5.689350882,247.9028625,11.08211587,11.44933875,SynchroOSW - Spring2025 - CTD - MARS.cnv
20250417-MARS-011m-2,Deep Chl max,04.17.2025,NA,stationary,NA,NA,eDNA,water,MARS,marine,11,active,0.22,2,NA,8,Sterivex,2,Spring,36.743,-122.1068333,DeepChla,shallow,Apr.25,11,TRUE,11,0,32.74757557,11.45069365,0.178730504,5.689350882,247.9028625,11.08211587,11.44933875,SynchroOSW - Spring2025 - CTD - MARS.cnv
20250417-MARS-011m-3,Deep Chl max,04.17.2025,NA,stationary,NA,NA,eDNA,water,MARS,marine,11,active,0.22,3,NA,9,Sterivex,2,Spring,36.743,-122.1068333,DeepChla,shallow,Apr.25,11,TRUE,11,0,32.74757557,11.45069365,0.178730504,5.689350882,247.9028625,11.08211587,11.44933875,SynchroOSW - Spring2025 - CTD - MARS.cnv
20250417-MARS-150m-1,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,MARS,marine,150,active,0.22,1,NA,4,Sterivex,2,Spring,36.743,-122.1068333,150,deep,Apr.25,150,TRUE,150,0,34.02932016,8.472951613,0.007713394,1.984782661,86.35785887,151.1693548,8.457379533,SynchroOSW - Spring2025 - CTD - MARS.cnv
20250417-MARS-150m-2,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,MARS,marine,150,active,0.22,2,NA,5,Sterivex,2,Spring,36.743,-122.1068333,150,deep,Apr.25,150,TRUE,150,0,34.02932016,8.472951613,0.007713394,1.984782661,86.35785887,151.1693548,8.457379533,SynchroOSW - Spring2025 - CTD - MARS.cnv
20250417-MARS-150m-3,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,MARS,marine,150,active,0.22,3,NA,6,Sterivex,2,Spring,36.743,-122.1068333,150,deep,Apr.25,150,TRUE,150,0,34.02932016,8.472951613,0.007713394,1.984782661,86.35785887,151.1693548,8.457379533,SynchroOSW - Spring2025 - CTD - MARS.cnv
20250417-MARS-300m-1,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,MARS,marine,300,active,0.22,1,NA,1,Sterivex,2,Spring,36.743,-122.1068333,300,deep,Apr.25,300,TRUE,291,9,34.12762753,7.468100102,0.007326772,1.204145036,52.37829171,293.3265097,7.439788013,SynchroOSW - Spring2025 - CTD - MARS.cnv
20250417-MARS-300m-2,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,MARS,marine,300,active,0.22,2,NA,2,Sterivex,2,Spring,36.743,-122.1068333,300,deep,Apr.25,300,TRUE,291,9,34.12762753,7.468100102,0.007326772,1.204145036,52.37829171,293.3265097,7.439788013,SynchroOSW - Spring2025 - CTD - MARS.cnv
20250417-MARS-300m-3,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,MARS,marine,300,active,0.22,3,NA,3,Sterivex,2,Spring,36.743,-122.1068333,300,deep,Apr.25,300,TRUE,291,9,34.12762753,7.468100102,0.007326772,1.204145036,52.37829171,293.3265097,7.439788013,SynchroOSW - Spring2025 - CTD - MARS.cnv
20250417-MARS-torp-A,NA,04.17.2025,09:40:00,transition,NA,NA,eDNA,water,MARS,marine,0,passive,20,A,5,NA,disk,2,Spring,36.743,-122.1068333,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-MARS-torp-B,NA,04.17.2025,09:40:00,transition,NA,NA,eDNA,water,MARS,marine,0,passive,20,B,5,NA,disk,2,Spring,36.743,-122.1068333,0,shallow,Apr.25,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-OSWS-010m-1,NA,04.17.2025,NA,stationary,NA,NA,eDNA,water,OSWS,marine,10,active,0.22,1,NA,10,Sterivex,2,Spring,36.6775,-122.5351667,10,shallow,Apr.25,10,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
