"","SampleID","notes","sampling date","sampling time","movement","Station_start","Station_end","sample type","medium","Station","ecosystem","depth.x","filtration","pore size","replicate","time","bottle","filter type","time point","Season","Latitude.x","Longitude.x","depth_chr","depth_num","Sampling_month","depth.y","pressure","temperature","temperature2","conductivity","conductivity2","salinity","salinity2","beamAttenuation","fluorescence","oxygen","oxygen2","oxygen3","flag","File","Latitude.y","Longitude.y","system_upload_time_chr","system_upload_time","depth_diff"
"11","20250722-ESe22b","20250722_Ese_22b","07.22.2025",11:50:00,"stationary",NA,NA,"eDNA","water","ELKHORN SLOUGH","estuary","0","active","0.22","2",NA,22,"disk",3,"Summer2025",36.8117,-121.77959,"0",0,"July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"12","20250722-ESe22c","20250722_Ese_22c","07.22.2025",11:50:00,"stationary",NA,NA,"eDNA","water","ELKHORN SLOUGH","estuary","0","active","0.22","3",NA,22,"disk",3,"Summer2025",36.8117,-121.77959,"0",0,"July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"13","20250722-ESe-23a",NA,"07.22.2025",11:50:00,"stationary",NA,NA,"eDNA","water","ELKHORN SLOUGH","estuary","0","active","0.22","1",NA,23,"disk",3,"Summer2025",36.8117,-121.77959,"0",0,"July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"14","20250722-ESe-23b",NA,"07.22.2025",11:50:00,"stationary",NA,NA,"eDNA","water","ELKHORN SLOUGH","estuary","0","active","0.22","2",NA,23,"disk",3,"Summer2025",36.8117,-121.77959,"0",0,"July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"15","202507-control","instead of 23c, MolGrade H20","07.22.2025",03:05:00,NA,NA,NA,"blank",NA,"ELKHORN SLOUGH","estuary","0","active","0.22","1",NA,NA,"disk",3,"Summer2025",36.8117,-121.77959,"0",NA,"July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Es-5","20250722_blank_5 old filters in lab","07.22.2025",NA,NA,NA,NA,"blank",NA,"ELKHORN SLOUGH","estuary","0",NA,"0.22","2",NA,NA,"disk",3,"Summer2025",NA,NA,"0",NA,"July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Es-6","20250722_blank_6 new control brought to field","07.22.2025",NA,NA,NA,NA,"blank",NA,"ELKHORN SLOUGH","estuary","0",NA,"0.22","3",NA,NA,"disk",3,"Summer2025",NA,NA,"0",NA,"July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Es-7","20250722_blank_7: new control dry in lab","07.22.2025",NA,NA,NA,NA,"blank",NA,"ELKHORN SLOUGH","estuary","0",NA,"0.22","4",NA,NA,"disk",3,"Summer2025",NA,NA,"0",NA,"July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","20250722-ESe-8","20250722_blank_8: new control dry in lab","07.22.2025",NA,NA,NA,NA,"blank",NA,"ELKHORN SLOUGH","estuary","0",NA,"0.22","5",NA,NA,"disk",3,"Summer2025",NA,NA,"0",NA,"July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","20250723-OSWS-BLNK","MolGrad H20","07.23.2025",NA,NA,NA,NA,"blank",NA,"OSWS","marine","0","active","0.22","1",NA,NA,"Sterivex",3,"Summer2025",36.6775,-122.53517,"0",NA,"July",1.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.6915,-122.478333333333,NA,NA,NA
"21","20250723-OSWS-300m-1",NA,"07.23.2025",NA,"stationary",NA,NA,"eDNA","water","OSWS","marine","10","active","0.22","1",NA,NA,"Sterivex",3,"Summer2025",36.6775,-122.53517,"10",10,"July",1.985,2,14.7745,14.791,4.122659,4.123172,33.6892,33.6535,1.3721,0.37702,6.9659,120.842,303.507,0,"SynchroOSW - Summer2025 - CTD - Synchro1.cnv",36.6915,-122.478333333333,"Jul 23 2025 12:27:18",2025-07-23 12:27:18,10
"22","20250723-OSWS-300m-2-b","duplicate","07.23.2025",NA,"stationary",NA,NA,"eDNA","water","OSWS","marine","10","active","0.22","4",NA,NA,"Sterivex",3,"Summer2025",36.6775,-122.53517,"10",10,"July",1.985,2,14.7745,14.791,4.122659,4.123172,33.6892,33.6535,1.3721,0.37702,6.9659,120.842,303.507,0,"SynchroOSW - Summer2025 - CTD - Synchro1.cnv",36.6915,-122.478333333333,"Jul 23 2025 12:27:18",2025-07-23 12:27:18,10
"23","20250723-OSWS-300m-2",NA,"07.23.2025",NA,"stationary",NA,NA,"eDNA","water","OSWS","marine","10","active","0.22","3",NA,NA,"Sterivex",3,"Summer2025",36.6775,-122.53517,"10",10,"July",1.985,2,14.7745,14.791,4.122659,4.123172,33.6892,33.6535,1.3721,0.37702,6.9659,120.842,303.507,0,"SynchroOSW - Summer2025 - CTD - Synchro1.cnv",36.6915,-122.478333333333,"Jul 23 2025 12:27:18",2025-07-23 12:27:18,10
"24","20250723-OSWS-300m-3",NA,"07.23.2025",NA,"stationary",NA,NA,"eDNA","water","OSWS","marine","10","active","0.22","2",NA,NA,"Sterivex",3,"Summer2025",36.6775,-122.53517,"10",10,"July",1.985,2,14.7745,14.791,4.122659,4.123172,33.6892,33.6535,1.3721,0.37702,6.9659,120.842,303.507,0,"SynchroOSW - Summer2025 - CTD - Synchro1.cnv",36.6915,-122.478333333333,"Jul 23 2025 12:27:18",2025-07-23 12:27:18,10
"25","20250723-OSWS-150m-1",NA,"07.23.2025",NA,"stationary",NA,NA,"eDNA","water","OSWS","marine","10","active","0.22","1",NA,NA,"Sterivex",3,"Summer2025",36.6775,-122.53517,"10",10,"July",1.985,2,14.7745,14.791,4.122659,4.123172,33.6892,33.6535,1.3721,0.37702,6.9659,120.842,303.507,0,"SynchroOSW - Summer2025 - CTD - Synchro1.cnv",36.6915,-122.478333333333,"Jul 23 2025 12:27:18",2025-07-23 12:27:18,10
"26","20250723-OSWS-150m-2",NA,"07.23.2025",NA,"stationary",NA,NA,"eDNA","water","OSWS","marine","10","active","0.22","2",NA,NA,"Sterivex",3,"Summer2025",36.6775,-122.53517,"10",10,"July",1.985,2,14.7745,14.791,4.122659,4.123172,33.6892,33.6535,1.3721,0.37702,6.9659,120.842,303.507,0,"SynchroOSW - Summer2025 - CTD - Synchro1.cnv",36.6915,-122.478333333333,"Jul 23 2025 12:27:18",2025-07-23 12:27:18,10
"27","20250723-OSWS-150m-3",NA,"07.23.2025",NA,"stationary",NA,NA,"eDNA","water","OSWS","marine","10","active","0.22","3",NA,NA,"Sterivex",3,"Summer2025",36.6775,-122.53517,"10",10,"July",1.985,2,14.7745,14.791,4.122659,4.123172,33.6892,33.6535,1.3721,0.37702,6.9659,120.842,303.507,0,"SynchroOSW - Summer2025 - CTD - Synchro1.cnv",36.6915,-122.478333333333,"Jul 23 2025 12:27:18",2025-07-23 12:27:18,10
"28","20250723-OSWS-010m-1",NA,"07.23.2025",NA,"stationary",NA,NA,"eDNA","water","OSWS","marine","10","active","0.22","1",NA,NA,"Sterivex",3,"Summer2025",36.6775,-122.53517,"10",10,"July",1.985,2,14.7745,14.791,4.122659,4.123172,33.6892,33.6535,1.3721,0.37702,6.9659,120.842,303.507,0,"SynchroOSW - Summer2025 - CTD - Synchro1.cnv",36.6915,-122.478333333333,"Jul 23 2025 12:27:18",2025-07-23 12:27:18,10
"29","20250723-OSWS-010m-2",NA,"07.23.2025",NA,"stationary",NA,NA,"eDNA","water","OSWS","marine","150","active","0.22","2",NA,NA,"Sterivex",3,"Summer2025",36.6775,-122.53517,"150",150,"July",1.985,2,14.7745,14.791,4.122659,4.123172,33.6892,33.6535,1.3721,0.37702,6.9659,120.842,303.507,0,"SynchroOSW - Summer2025 - CTD - Synchro1.cnv",36.6915,-122.478333333333,"Jul 23 2025 12:27:18",2025-07-23 12:27:18,150
"30","20250723-OSWS-010m-3",NA,"07.23.2025",NA,"stationary",NA,NA,"eDNA","water","OSWS","marine","150","active","0.22","3",NA,NA,"Sterivex",3,"Summer2025",36.6775,-122.53517,"150",150,"July",1.985,2,14.7745,14.791,4.122659,4.123172,33.6892,33.6535,1.3721,0.37702,6.9659,120.842,303.507,0,"SynchroOSW - Summer2025 - CTD - Synchro1.cnv",36.6915,-122.478333333333,"Jul 23 2025 12:27:18",2025-07-23 12:27:18,150
"31","20250723-OSWS-010m-4",NA,"07.23.2025",NA,"stationary",NA,NA,"eDNA","water","OSWS","marine","150","active","0.22","4",NA,NA,"Sterivex",3,"Summer2025",36.6775,-122.53517,"150",150,"July",1.985,2,14.7745,14.791,4.122659,4.123172,33.6892,33.6535,1.3721,0.37702,6.9659,120.842,303.507,0,"SynchroOSW - Summer2025 - CTD - Synchro1.cnv",36.6915,-122.478333333333,"Jul 23 2025 12:27:18",2025-07-23 12:27:18,150
"32","20250723-OSWS-010m-5",NA,"07.23.2025",NA,"stationary",NA,NA,"eDNA","water","OSWS","marine","300","active","0.22","5",NA,NA,"Sterivex",3,"Summer2025",36.6775,-122.53517,"300",300,"July",1.985,2,14.7745,14.791,4.122659,4.123172,33.6892,33.6535,1.3721,0.37702,6.9659,120.842,303.507,0,"SynchroOSW - Summer2025 - CTD - Synchro1.cnv",36.6915,-122.478333333333,"Jul 23 2025 12:27:18",2025-07-23 12:27:18,300
"33","20250723-OSWS-010m-6",NA,"07.23.2025",NA,"stationary",NA,NA,"eDNA","water","OSWS","marine","300","active","0.22","6",NA,NA,"Sterivex",3,"Summer2025",36.6775,-122.53517,"300",300,"July",1.985,2,14.7745,14.791,4.122659,4.123172,33.6892,33.6535,1.3721,0.37702,6.9659,120.842,303.507,0,"SynchroOSW - Summer2025 - CTD - Synchro1.cnv",36.6915,-122.478333333333,"Jul 23 2025 12:27:18",2025-07-23 12:27:18,300
"34","20250723-OSWS-air-1","transition","07.23.2025",NA,"transition","M1","OSWS","eDNA","air","OSWS","marine","300","active","0.22","1",NA,NA,"Sterivex",3,"Summer2025",36.6775,-122.53517,"300",NA,"July",1.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.6915,-122.478333333333,NA,NA,NA
"35","20250723-OSWS-air-2","transition","07.23.2025",NA,"transition","M1","OSWS","eDNA","air","OSWS","marine","0","passive","0.22","2",NA,NA,"disk",3,"Summer2025",36.6775,-122.53517,"0",NA,"July",1.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.6915,-122.478333333333,NA,NA,NA
"36","20250723-OSWS-air-3","transition","07.23.2025",NA,"transition","M1","OSWS","eDNA","air","OSWS","marine","0","passive","0.22","3",NA,NA,"disk",3,"Summer2025",36.6775,-122.53517,"0",NA,"July",1.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.6915,-122.478333333333,NA,NA,NA
"37","20250723-OSWS-air-st-1",NA,"07.23.2025",NA,"stationary","OSWS","OSWS","eDNA","air","OSWS","marine","0","passive","0.22","1",NA,NA,"disk",3,"Summer2025",36.6775,-122.53517,"0",NA,"July",1.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.6915,-122.478333333333,NA,NA,NA
"38","20250723-OSWS-air-st-2",NA,"07.23.2025",NA,"stationary","OSWS","OSWS","eDNA","air","OSWS","marine","0","passive","0.22","2",NA,NA,"disk",3,"Summer2025",36.6775,-122.53517,"0",NA,"July",1.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.6915,-122.478333333333,NA,NA,NA
"39","20250723-OSWS-air-st-3",NA,"07.23.2025",NA,"stationary","OSWS","OSWS","eDNA","air","OSWS","marine","0","passive","0.22","3",NA,NA,"disk",3,"Summer2025",36.6775,-122.53517,"0",NA,"July",1.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.6915,-122.478333333333,NA,NA,NA
"40","20250723-OSWS-torp-1","O-Ring not sealed","07.23.2025",NA,"transition",NA,NA,"eDNA","water","OSWS","marine","0","passive","20","1",NA,NA,"disk",3,"Summer2025",36.6775,-122.53517,"0",0,"July",1.985,2,14.7745,14.791,4.122659,4.123172,33.6892,33.6535,1.3721,0.37702,6.9659,120.842,303.507,0,"SynchroOSW - Summer2025 - CTD - Synchro1.cnv",36.6915,-122.478333333333,"Jul 23 2025 12:27:18",2025-07-23 12:27:18,0
"41","20250723-OSWS-torp-2",NA,"07.23.2025",NA,"transition",NA,NA,"eDNA","water","OSWS","marine","0","passive","20","2",NA,NA,"disk",3,"Summer2025",36.6775,-122.53517,"0",0,"July",1.985,2,14.7745,14.791,4.122659,4.123172,33.6892,33.6535,1.3721,0.37702,6.9659,120.842,303.507,0,"SynchroOSW - Summer2025 - CTD - Synchro1.cnv",36.6915,-122.478333333333,"Jul 23 2025 12:27:18",2025-07-23 12:27:18,0
"42","20250723-M1-Blnk","MolGrad H20","07.23.2025",NA,NA,NA,NA,"blank",NA,"M1","marine","0","active","0.22","1",NA,NA,"Sterivex",3,"Summer2025",36.74166667,-122.0268333,"0",NA,"July",1.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7638333333333,-122.005666666667,NA,NA,NA
"43","20250723-M1-300m-1",NA,"07.23.2025",NA,"stationary",NA,NA,"eDNA","water","M1","marine","300","active","0.22","1",NA,NA,"Sterivex",3,"Summer2025",36.74166667,-122.0268333,"300",300,"July",1.985,2,14.6648,14.6689,4.106165,4.100001,33.6045,33.5413,0.383,0.10192,5.9042,102.147,257.26,0,"SynchroOSW - Summer2025 - CTD - M1.cnv",36.7638333333333,-122.005666666667,"Jul 23 2025 09:19:21",2025-07-23 09:19:21,300
"44","20250723-M1-300m-2",NA,"07.23.2025",NA,"stationary",NA,NA,"eDNA","water","M1","marine","300","active","0.22","2",NA,NA,"Sterivex",3,"Summer2025",36.74166667,-122.0268333,"300",300,"July",1.985,2,14.6648,14.6689,4.106165,4.100001,33.6045,33.5413,0.383,0.10192,5.9042,102.147,257.26,0,"SynchroOSW - Summer2025 - CTD - M1.cnv",36.7638333333333,-122.005666666667,"Jul 23 2025 09:19:21",2025-07-23 09:19:21,300
"45","20250723-M1-300m-3",NA,"07.23.2025",NA,"stationary",NA,NA,"eDNA","water","M1","marine","300","active","0.22","3",NA,NA,"Sterivex",3,"Summer2025",36.74166667,-122.0268333,"300",300,"July",1.985,2,14.6648,14.6689,4.106165,4.100001,33.6045,33.5413,0.383,0.10192,5.9042,102.147,257.26,0,"SynchroOSW - Summer2025 - CTD - M1.cnv",36.7638333333333,-122.005666666667,"Jul 23 2025 09:19:21",2025-07-23 09:19:21,300
"46","20250723-M1-150m-1",NA,"07.23.2025",NA,"stationary",NA,NA,"eDNA","water","M1","marine","150","active","0.22","1",NA,NA,"Sterivex",3,"Summer2025",36.74166667,-122.0268333,"150",150,"July",1.985,2,14.6648,14.6689,4.106165,4.100001,33.6045,33.5413,0.383,0.10192,5.9042,102.147,257.26,0,"SynchroOSW - Summer2025 - CTD - M1.cnv",36.7638333333333,-122.005666666667,"Jul 23 2025 09:19:21",2025-07-23 09:19:21,150
"47","20250723-M1-150m-2",NA,"07.23.2025",NA,"stationary",NA,NA,"eDNA","water","M1","marine","150","active","0.22","2",NA,NA,"Sterivex",3,"Summer2025",36.74166667,-122.0268333,"150",150,"July",1.985,2,14.6648,14.6689,4.106165,4.100001,33.6045,33.5413,0.383,0.10192,5.9042,102.147,257.26,0,"SynchroOSW - Summer2025 - CTD - M1.cnv",36.7638333333333,-122.005666666667,"Jul 23 2025 09:19:21",2025-07-23 09:19:21,150
"48","20250723-M1-150m-3",NA,"07.23.2025",NA,"stationary",NA,NA,"eDNA","water","M1","marine","150","active","0.22","3",NA,NA,"Sterivex",3,"Summer2025",36.74166667,-122.0268333,"150",150,"July",1.985,2,14.6648,14.6689,4.106165,4.100001,33.6045,33.5413,0.383,0.10192,5.9042,102.147,257.26,0,"SynchroOSW - Summer2025 - CTD - M1.cnv",36.7638333333333,-122.005666666667,"Jul 23 2025 09:19:21",2025-07-23 09:19:21,150
"49","20250723-M1-016m-1","Deep Chl max","07.23.2025",NA,"stationary",NA,NA,"eDNA","water","M1","marine","16","active","0.22","1",NA,NA,"Sterivex",3,"Summer2025",36.74166667,-122.0268333,"16",16,"July",1.985,2,14.6648,14.6689,4.106165,4.100001,33.6045,33.5413,0.383,0.10192,5.9042,102.147,257.26,0,"SynchroOSW - Summer2025 - CTD - M1.cnv",36.7638333333333,-122.005666666667,"Jul 23 2025 09:19:21",2025-07-23 09:19:21,16
"50","20250723-M1-016m-2","Deep Chl max","07.23.2025",NA,"stationary",NA,NA,"eDNA","water","M1","marine","16","active","0.22","2",NA,NA,"Sterivex",3,"Summer2025",36.74166667,-122.0268333,"16",16,"July",1.985,2,14.6648,14.6689,4.106165,4.100001,33.6045,33.5413,0.383,0.10192,5.9042,102.147,257.26,0,"SynchroOSW - Summer2025 - CTD - M1.cnv",36.7638333333333,-122.005666666667,"Jul 23 2025 09:19:21",2025-07-23 09:19:21,16
"51","20250723-M1-016m-3","Deep Chl max","07.23.2025",NA,"stationary",NA,NA,"eDNA","water","M1","marine","16","active","0.22","3",NA,NA,"Sterivex",3,"Summer2025",36.74166667,-122.0268333,"16",16,"July",1.985,2,14.6648,14.6689,4.106165,4.100001,33.6045,33.5413,0.383,0.10192,5.9042,102.147,257.26,0,"SynchroOSW - Summer2025 - CTD - M1.cnv",36.7638333333333,-122.005666666667,"Jul 23 2025 09:19:21",2025-07-23 09:19:21,16
"52","20250723-M1-010M-1",NA,"07.23.2025",NA,"stationary",NA,NA,"eDNA","water","M1","marine","10","active","0.22","1",NA,NA,"Sterivex",3,"Summer2025",36.74166667,-122.0268333,"10",10,"July",1.985,2,14.6648,14.6689,4.106165,4.100001,33.6045,33.5413,0.383,0.10192,5.9042,102.147,257.26,0,"SynchroOSW - Summer2025 - CTD - M1.cnv",36.7638333333333,-122.005666666667,"Jul 23 2025 09:19:21",2025-07-23 09:19:21,10
"53","20250723-M1-010M-2",NA,"07.23.2025",NA,"stationary",NA,NA,"eDNA","water","M1","marine","10","active","0.22","2",NA,NA,"Sterivex",3,"Summer2025",36.74166667,-122.0268333,"10",10,"July",1.985,2,14.6648,14.6689,4.106165,4.100001,33.6045,33.5413,0.383,0.10192,5.9042,102.147,257.26,0,"SynchroOSW - Summer2025 - CTD - M1.cnv",36.7638333333333,-122.005666666667,"Jul 23 2025 09:19:21",2025-07-23 09:19:21,10
"54","20250723-M1-010M-3",NA,"07.23.2025",NA,"stationary",NA,NA,"eDNA","water","M1","marine","10","active","0.22","3",NA,NA,"Sterivex",3,"Summer2025",36.74166667,-122.0268333,"10",10,"July",1.985,2,14.6648,14.6689,4.106165,4.100001,33.6045,33.5413,0.383,0.10192,5.9042,102.147,257.26,0,"SynchroOSW - Summer2025 - CTD - M1.cnv",36.7638333333333,-122.005666666667,"Jul 23 2025 09:19:21",2025-07-23 09:19:21,10
"55","20250723-ML-M1-air-A","mainland to M1","07.23.2025",NA,"transition","ML","M1","eDNA","air","M1","marine","0","passive","0.22","1",NA,NA,"disk",3,"Summer2025",36.74166667,-122.0268333,"0",NA,"July",1.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7638333333333,-122.005666666667,NA,NA,NA
"56","20250723-ML-M1-air-B","mainland to M1","07.23.2025",NA,"transition","ML","M1","eDNA","air","M1","marine","0","passive","0.22","2",NA,NA,"disk",3,"Summer2025",36.74166667,-122.0268333,"0",NA,"July",1.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7638333333333,-122.005666666667,NA,NA,NA
"57","20250723-ML-M1-air-C","mainland to M1","07.23.2025",NA,"transition","ML","M1","eDNA","air","M1","marine","0","passive","0.22","3",NA,NA,"disk",3,"Summer2025",36.74166667,-122.0268333,"0",NA,"July",1.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7638333333333,-122.005666666667,NA,NA,NA
"58","20250723-ML-M1-air-ctrl","mainland to M1","07.23.2025",NA,NA,"ML","M1","blank","air","M1","marine","0","passive","0.22","1",NA,NA,"disk",3,"Summer2025",36.74166667,-122.0268333,"0",NA,"July",1.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7638333333333,-122.005666666667,NA,NA,NA
"59","20250723-M1-air-st-A","deployed for 20 mins","07.23.2025",NA,"stationary","M1","M1","eDNA","air","M1","marine","0","passive","0.22","1",NA,NA,"disk",3,"Summer2025",36.74166667,-122.0268333,"0",NA,"July",1.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7638333333333,-122.005666666667,NA,NA,NA
"60","20250723-M1-air-st-B","deployed for 20 mins","07.23.2025",NA,"stationary","M1","M1","eDNA","air","M1","marine","0","passive","0.22","2",NA,NA,"disk",3,"Summer2025",36.74166667,-122.0268333,"0",NA,"July",1.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7638333333333,-122.005666666667,NA,NA,NA
"61","20250723-M1-air-st-C","deployed for 20 mins","07.23.2025",NA,"stationary","M1","M1","eDNA","air","M1","marine","0","passive","0.22","3",NA,NA,"disk",3,"Summer2025",36.74166667,-122.0268333,"0",NA,"July",1.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7638333333333,-122.005666666667,NA,NA,NA
"62","20250723-M1-torp-A",NA,"07.23.2025",NA,"transition",NA,NA,"eDNA","water","M1","marine","0","passive","20","1",NA,NA,"disk",3,"Summer2025",36.74166667,-122.0268333,"0",0,"July",1.985,2,14.6648,14.6689,4.106165,4.100001,33.6045,33.5413,0.383,0.10192,5.9042,102.147,257.26,0,"SynchroOSW - Summer2025 - CTD - M1.cnv",36.7638333333333,-122.005666666667,"Jul 23 2025 09:19:21",2025-07-23 09:19:21,0
"63","20250723-M1-torp-B",NA,"07.23.2025",NA,"transition",NA,NA,"eDNA","water","M1","marine","0","passive","20","2",NA,NA,"disk",3,"Summer2025",36.74166667,-122.0268333,"0",0,"July",1.985,2,14.6648,14.6689,4.106165,4.100001,33.6045,33.5413,0.383,0.10192,5.9042,102.147,257.26,0,"SynchroOSW - Summer2025 - CTD - M1.cnv",36.7638333333333,-122.005666666667,"Jul 23 2025 09:19:21",2025-07-23 09:19:21,0
"64","20250724-MARS-torp-A",NA,"07.24.2025",NA,"transition",NA,NA,"eDNA","water","MARS","marine","0","passive","20","1","3",NA,"disk",3,"Summer2025",36.743,-122.1068333,"0",0,"July",1.986,2,15.2256,15.2285,4.165223,4.165621,33.6795,33.6618,1.0125,0.12217,6.9437,121.538,302.572,0,"SynchroOSW - Summer2025 - CTD - MARS.cnv",36.7165,-122.188,"Jul 24 2025 12:47:33",2025-07-24 12:47:33,0
"65","20250724-MARS-torp-B",NA,"07.24.2025",NA,"transition",NA,NA,"eDNA","water","MARS","marine","0","passive","20","1","3",NA,"disk",3,"Summer2025",36.743,-122.1068333,"0",0,"July",1.986,2,15.2256,15.2285,4.165223,4.165621,33.6795,33.6618,1.0125,0.12217,6.9437,121.538,302.572,0,"SynchroOSW - Summer2025 - CTD - MARS.cnv",36.7165,-122.188,"Jul 24 2025 12:47:33",2025-07-24 12:47:33,0
